"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5,C14","5","4u7","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C2,C6,C7,C8,C9,C10,C11,C12,C13,C19","10","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C15","1","0p3","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C16","1","0p8","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C17,C18","2","10p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"FID1,FID2,FID3","3","Fiducial","","","","Fiducial:Fiducial_1mm_Mask2mm","~"
"FLT1","1","DLF162500LT-5028A1","","","","Library_PhilGuide:DLF162500LT-5028A1","https://product.tdk.com/system/files/dam/doc/product/rf/rf/filter/catalog/rf_lpf_dlf162500lt-5028a1_en.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
"J1","1","Conn_01x04","","","","Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal","~"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_ARM_SWD_TagConnect_TC2030","","Excluído do BOM","","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf"
"J4","1","Conn_Coaxial","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
"L1","1","10u","","","","Inductor_SMD:L_0805_2012Metric","~"
"L2","1","10n","","","","Inductor_SMD:L_0402_1005Metric","~"
"L3","1","2n7","","","","Inductor_SMD:L_0402_1005Metric","~"
"R1,R2,R3,R7","4","220R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5,R6","3","5k1","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~"
"U1","1","MIC5365-3.3YD5","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf"
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U3","1","STM32WB55CEU6","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf"
"X1","1","32MHz","","","","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~"
"X2","1","32kHz768","","","","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~"
